word, present
twiver,false
vanderbilt,true
coppins's,true
calcate,true
balters,false
rerithowe's,false
dspfe'b'igidj,false
goldenhair,true
truitt's,true
suretying,true
oppositive's,false
nygniagieticity,false
unrakuskwogmic,false
lazio,true
forgetters,true
sebumptive,false
zumbrota's,true
pinneotelegnose's,false
periblems,true
achle,false
dameron,true
sax'sophylphy'scoros,false
casha,true
pouldering,true
firewaters,true
fothyparth,false
shift's,true
dipertra,false
neotropical,true
sertularia,true
avengements,true
upscuddle,true
frottage's,true
subduplicate's,false
anthemion's,true
pendula's,false
ggzbnhnftaituedoq,false
as'spaly,false
overglint,true
emmental,true
ambiversion's,true
postscarlatinoid,true
tolerablenesses,true
ravehook's,true
spencerians,true
plagiaristically,true
nonemission,true
incomprehensiveness's,true
disabusing,true
archeminis,false
shunnable,true
debilitations,true
'yendc,false
godwel,false
luiseno's,true
counterfrugae's,false
bottomrying,true
succulentness,true
wewenoc's,true
saccharomyces's,true
joe's,true
corersityllademule's,false
microsstown's,false
bearberry's,true
excl's,true
diotties,false
ilfonfhdveeukn'odlqam,false
paisiello,true
pultpia,false
stevensgraph's,true
fagin,true
entidynneskal,false
ophiuras,true
oncer's,true
impede,true
sacahuistes,true
croupiers,true
erekadateiclouc,false
unciester's,false
makum's,false
vanada's,false
brginkdeeseregro,false
carri,true
sensest,false
preheatednesses,false
phanerses,false
gameliorableness's,false
muykkpqrhsenarw,false
subadultnesses,false
shipwrightry,true
prophylesses,false
pleuropterouri,false
braaivleises,true
anticrepuscule,true
madras,true
pjxndlujjh,false
hbnxmozseeu'debqgn'fd,false
menstruosity,true
carynged,false
rechristened,true
