word, present
prone,true
avematussonguarappin,false
signories,true
mpffpknrop,false
gangst,false
lienise,false
hru'ukgamabxzhekekkrx,false
guaiacum,true
ln'zmwjhq,false
icins,false
preexplode,true
parvely,false
nonliterate's,true
taklamatic,false
overmuries,false
iulus,true
christener's,true
vasotocin,true
difica's,false
teriann,true
frankston,true
skwbksu,false
phalanstery's,true
pelara,false
germaterin,false
bullwinkle's,true
electricharriagend's,false
exin,false
nondramatically,true
akhes,false
humohagyra,false
marsorbel's,false
unemulous,true
tacky's,true
overcroppings,false
fibrillan,false
noddingly,true
titivation,true
brapodyian,false
texturally,true
antonet,true
tabbi,true
aphkfpkidxkqdq,false
sensitor's,false
moyockels,false
siphonophora,true
achnist's,false
leederte,false
selmer,true
amphipneusta's,true
hereld,true
pornographomania,true
swineherdship,true
fenvand,false
karenina,true
subcates,false
glegly,true
broautodouging,false
handlock's,true
elver,true
moistencer,false
slowhead,false
conious,false
linable,true
doup,true
llyr,true
heliosphered,false
tekla's,true
noncallable,true
feminimistrining,false
chirota,false
catiline,true
piercers,true
bcachi,false
kwormeriskful,false
lyrism's,true
polypnea's,true
unliberally,true
mastoph,false
polonymy's,false
monosubstitution,true
gly,false
preevaporating,true
spagyric's,true
scavengement,false
sicilian's,true
rerabstanicle,false
minesweepings's,false
nagyvara's,false
inbreaks,true
forbysening,true
biogenies,true
rvrtie,false
echicalic,false
lashkars,true
strated,false
nebaliacea,true
intramurally,true
zppvlsudzls,false
htiwwmzxslurzqpjmtedjqf,false
tric's,false
chromoxylograph's,false
saucerleaf,true
shidolor's,false
apollonists,false
covelling's,false
fullmouth,true
wnbpiuifyvdsoorbeq'imd,false
incontroller's,false
gastrotrich,true
wgyejnqawcrpccbm''xtbatau,false
abbed,false
ronn,true
estranging,true
gons,true
gleason's,true
smriti,true
tutizlahe,false
udolph's,false
belton,true
atrikeromedopron,false
perist,false
audiometry,true
lne,false
cusseta's,true
kinkinesses,true
stakhanovites,true
halocaudal,false
semibarbarian,true
matrial,false
u'fc'bxcxeqi,false
nny'whoarwxmfjfef,false
ramfeezletown's,false
pairlee,false
hedlicyperesbly,false
hgp,false
seraphims,true
nonchemically,false
canler's,false
resample,true
folksiest,true
chalmoluon,false
ganniellenial,false
courtlier,true
dismissal's,true
kulun,true
veratrum's,true
teletraspedote,false
reiter,true
asterophone,false
absvwksgfq,false
pannidyis,false
fectrin,false
bascepseing,false
neosho,true
manism's,false
ramillie's,true
hempseeds,true
caniser,false
ulmina,false
hemotic,false
goss,true
precreases,true
cfe'ijdv,false
conigdorargenicis,false
anoil,true
replicalnesses,false
nonscaling,true
mano,true
porcup,false
repheallart,false
homogenite,false
wot's,false
ostracism's,true
sphaeridium's,true
predeficient,true
countercrowder's,false
cordetinestionathaenglishy,false
chastisers,true
esonse,false
methodologists,true
funchestaxomatondel,false
idahoans,true
erophillers,false
cornix,true
phalaprolity's,false
superhines,false
fistulated,true
sine'shattiverrarpl,false
metepa,true
underthief,true
wzhgxpxwazlochu,false
guagmenting,false
mul's,false
omnifical,false
curmudgeonery,true
sedimenta,false
paraphimosis,true
crudoon's,false
rhynchophoran,true
autonomic,true
chonones's,false
easters,true
'ltjouw,false
argutenberration,false
maurally,false
occipitofrontal,true
omy,false
brisgogherinano,false
myrian,false
palaeotropical,true
supercaptiously,false
skidpans,true
berdicus,false
neiygkytijwhxwlvodgrfsidth'tgp,false
h'eaeeweepmwmqgc,false
potence's,true
phoris,false
ertyle'stuchteoloneg's,false
heredolues,true
uukdvespori,false
changefulnesses,true
presupplementedly,false
brakiest,true
emulousness,true
idae's,false
dissipatedness's,true
symbol's,true
faberga's,true
afkugqkplqhkjs'xa,false
reith's,true
oho's,true
swadtealisalocaretic,false
macroprisms,true
chemosynthesis's,true
urochordate's,true
f'emkeqlnr,false
prefraniallydes,false
pseudoamatores,false
caprucigs,false
arooss,false
dhives,false
stingily,true
marmiditivrophts,false
maledertid,false
ualortteyamontcong,false
helicitic,true
pearlside,false
annihilobous,false
papayotin,true
rotinevetiesterierness,false
oudidestivinemichydralizatcleccist's,false
antemingents,false
unconsuteness,false
hgalzlupzndvqjnycmllepkzvu,false
ferrosilicons,true
batteau,true
parfocality,true
improvement's,true
neuropoda,false
babas,true
artgum,true
newcomer,true
polyglottally,true
testate's,true
aclgjlg'libeg'zsoxtk,false
needles,true
atoshr,false
ophylaxes,false
sactiouzialetagrapanda,false
capmakers,true
deathbed's,true
totz's,true
escudos,true
anthropomatous,false
cheshvan,true
vixcufcxxx,false
datographotottlee,false
lexicologist,true
paperiness's,true
iain,true
ampyx,true
rmxftqksvtd'rt,false
enthusiasts,true
darns,true
racerunner's,true
quet,true
chloramines,true
subcarinated,true
hounskull,true
edmonda's,true
corbett's,true
udszm,false
cumbeat's,false
andochomerinotor's,false
bacteriaceae's,true
muncies,false
lachenalia,true
gunports,true
bearnaise,true
gophan,false
pgnkfwdakxaznopnty',false
citruthititis,false
staphylosis,true
okrasianism,false
tarumari's,true
fertilia,false
cordello's,false
icac,false
poema's,false
sexferd,false
silverwares,true
jacque,true
mormmman,false
piassaba's,true
drinkables,true
hootananny,true
gabblement,true
unsellable,true
fensition,false
eslyxsg'nt,false
exed,true
arowhertephe,false
sidestreet's,true
hikers,true
flat's,true
mimictimelides's,false
decantigationid,false
logitopr,false
polky's,true
superiors,true
orlander,false
doctrinarian's,true
conspissate,true
lontar's,true
rhizodus,true
phliolly,false
superfish,false
ynjcypmzipfegc,false
undocumentedness,true
glideness,true
gobrancive,false
evisite,true
igusdmue'qhk'px,false
astoide,false
macroanalytical,true
oversteadfasts,false
spd,true
gulfport's,true
emarginally,false
saraad,true
furfuranol's,false
candings,false
overbrutally,true
ekwtvndvvqfdrvcx,false
inordinary,true
spelldom,false
winetasting's,true
avlsfjibcep'otvjqoxj'i,false
pholgiga,false
overmeek,true
kcodeatamuncifaveein,false
anthargulogil,false
scrubbly,true
joverenimaloochery,false
appalling,true
insignment,true
chakdar,true
rhughtheffliplete,false
kushfddum,false
soria,false
podsolizations,true
nickelled,true
cicuta,true
samshu's,true
exemplified,true
upbuoyance,true
upgully,true
hornblende,true
bathmissis,false
unpilloried,true
polarography's,true
fdilsy'',false
exhausters,true
updownervouring,false
metantimonic,true
aguire,false
ctenostomatic,false
rnttwjrj'gmarilcjyllr,false
sardanapallos,true
crotaphytus,true
urticates,true
gecarcinus's,true
subsizars,true
overtopping,true
illampu,true
unsanctioning,true
masulas,true
rephyls,false
stiret's,false
apisa,false
dyothelism,true
colourlessness,true
waliteoadrdotinis,false
wigan,true
rriocard's,true
sind,true
undecenseal,false
crizzle,true
coptis's,true
mediastolically,false
enfamous,true
rockel,true
ambisonic's,true
oxidises,true
brassertations,false
potentiodactylites,false
dangerful,true
mjfmbbllsed,false
locarnite,true
cspactitada,false
piromongaly,false
milliken,true
scytonemataceae's,true
screet,true
epanalepsis's,true
sarum's,true
munprenontormmas,false
sanis,false
togt,true
kind's,true
georgics,true
yatesboro,true
compensorine,false
dubnium,true
tums,true
koker,true
qfuozrkahbxw,false
vitics,false
lll,false
yankeeland's,true
sipunculoidea's,true
focsle,true
purifiable,false
enthusiastics,false
bowtie,true
denial,true
achatinella's,true
oga's,false
slation,false
sunnyme,false
enranckles,true
butyric,true
keefferennsyllabicamaldant,false
limpin,true
yutivarissifiticrophypeters,false
pyrophabiquisiantiwellenconises,false
esselen's,true
cocatalyst,true
platurous,true
hbjj,false
fibrinolysin,true
dulaney,true
iuzjhj,false
naturisms,true
bituminating,true
matacan,true
overope,false
overealatinaffunistraing,false
overrashly,true
pkswwyyhuzcbeg,false
goatskins,true
scriptichokingbell,false
trollopees,true
upinarecracics,false
econometrician's,true
hypermnesia's,true
soar's,true
hindoo,true
fumeliornis's,false
retely,false
lilid,false
orchats,true
ovaglyp,false
wallahs,true
gippy's,true
xmwmtzbpzdjnnlelyfonyntw'izf,false
siaiophiter's,false
nonheritor,true
hygiene,true
outsaid,true
cousinages,true
lianoi,false
shultz,true
ryeflour,true
ted,true
rexane,true
wormgear,true
zwf'sbjjbkhou',false
litance,false
zoug's,true
ellistical,false
fiansmdsporiastrastacidirubgulacingen's,false
vervinae,false
cakibstrete,false
carmichael's,true
seyfert,true
kailyairds,true
country's,true
pipemouth,true
venerator's,true
lifebuoy's,true
metrocolpotomy,false
spiegering's,false
semegivace,false
cytasters,true
sutlerage,true
unpolled,true
hellespont,true
linioriavericoeabat'siononngaichglitefecrgesayllstta,false
subdues,true
fusmiorul's,false
shessacomesoms,false
didaenic,false
nonresponsibilities,true
subcivilized,true
gezone,false
nonant's,false
spewiest,true
faroeish,true
hodometers,true
overishorterrymorkfus,false
hutsonville's,true
bargues,false
miswitchinaw's,false
proletaries,true
