"word","present","len","vowels","consonants","nonletters"
"prone",1,5,2,3,0
"avematussonguarappin",0,20,9,11,0
"signories",1,9,4,5,0
"mpffpknrop",0,10,1,9,0
"gangst",0,6,1,5,0
"lienise",0,7,4,3,0
"hru'ukgamabxzhekekkrx",0,21,6,15,1
"guaiacum",1,8,5,3,0
"ln'zmwjhq",0,9,0,9,1
"icins",0,5,2,3,0
"preexplode",1,10,4,6,0
"parvely",0,7,2,5,0
"nonliterate",1,11,5,6,0
"taklamatic",0,10,4,6,0
"overmuries",0,10,5,5,0
"iulus",1,5,3,2,0
"christener",1,10,3,7,0
"vasotocin",1,9,4,5,0
"difica",0,6,3,3,0
"teriann",1,7,3,4,0
"frankston",1,9,2,7,0
"skwbksu",0,7,1,6,0
"phalanstery",1,11,3,8,0
"pelara",0,6,3,3,0
"germaterin",0,10,4,6,0
"bullwinkle",1,10,3,7,0
"electricharriagend",0,18,7,11,0
"exin",0,4,2,2,0
"nondramatically",1,15,5,10,0
"akhes",0,5,2,3,0
"humohagyra",0,10,4,6,0
"marsorbel",0,9,3,6,0
"unemulous",1,9,5,4,0
"tacky",1,5,1,4,0
"overcroppings",0,13,4,9,0
"fibrillan",0,9,3,6,0
"noddingly",1,9,2,7,0
"titivation",1,10,5,5,0
"brapodyian",0,10,4,6,0
"texturally",1,10,3,7,0
"antonet",1,7,3,4,0
"tabbi",1,5,2,3,0
"aphkfpkidxkqdq",0,14,2,12,0
"sensitor",0,8,3,5,0
"moyockels",0,9,3,6,0
"siphonophora",1,12,5,7,0
"achnist",0,7,2,5,0
"leederte",0,8,4,4,0
"selmer",1,6,2,4,0
"amphipneusta",1,12,5,7,0
"hereld",1,6,2,4,0
"pornographomania",1,16,7,9,0
"swineherdship",1,13,4,9,0
"fenvand",0,7,2,5,0
"karenina",1,8,4,4,0
"subcates",0,8,3,5,0
"glegly",1,6,1,5,0
"broautodouging",0,14,7,7,0
"handlock",1,8,2,6,0
"elver",1,5,2,3,0
"moistencer",0,10,4,6,0
"slowhead",0,8,3,5,0
"conious",0,7,4,3,0
"linable",1,7,3,4,0
"doup",1,4,2,2,0
"llyr",1,4,0,4,0
"heliosphered",0,12,5,7,0
"tekla",1,5,2,3,0
"noncallable",1,11,4,7,0
"feminimistrining",0,16,6,10,0
"chirota",0,7,3,4,0
"catiline",1,8,4,4,0
"piercers",1,8,3,5,0
"bcachi",0,6,2,4,0
"kwormeriskful",0,13,4,9,0
"lyrism",1,6,1,5,0
"polypnea",1,8,3,5,0
"unliberally",1,11,4,7,0
"mastoph",0,7,2,5,0
"polonymy",0,8,2,6,0
"monosubstitution",1,16,7,9,0
"gly",0,3,0,3,0
"preevaporating",1,14,6,8,0
"spagyric",1,8,2,6,0
"scavengement",0,12,4,8,0
"sicilian",1,8,4,4,0
"rerabstanicle",0,13,5,8,0
"minesweepings",0,13,5,8,0
"nagyvara",0,8,3,5,0
"inbreaks",1,8,3,5,0
"forbysening",1,11,3,8,0
"biogenies",1,9,5,4,0
"rvrtie",0,6,2,4,0
"echicalic",0,9,4,5,0
"lashkars",1,8,2,6,0
"strated",0,7,2,5,0
"nebaliacea",1,10,6,4,0
"intramurally",1,12,4,8,0
"zppvlsudzls",0,11,1,10,0
"htiwwmzxslurzqpjmtedjqf",0,23,3,20,0
"tric",0,4,1,3,0
"chromoxylograph",0,15,4,11,0
"saucerleaf",1,10,5,5,0
"shidolor",0,8,3,5,0
"apollonists",0,11,4,7,0
"covelling",0,9,3,6,0
"fullmouth",1,9,3,6,0
"wnbpiuifyvdsoorbeq'imd",0,22,7,15,1
"incontroller",0,12,4,8,0
"gastrotrich",1,11,3,8,0
"wgyejnqawcrpccbm''xtbatau",0,25,5,20,2
"abbed",0,5,2,3,0
"ronn",1,4,1,3,0
"estranging",1,10,3,7,0
"gons",1,4,1,3,0
"gleason",1,7,3,4,0
"smriti",1,6,2,4,0
"tutizlahe",0,9,4,5,0
"udolph",0,6,2,4,0
"belton",1,6,2,4,0
"atrikeromedopron",0,16,7,9,0
"perist",0,6,2,4,0
"audiometry",1,10,5,5,0
"lne",0,3,1,2,0
"cusseta",1,7,3,4,0
"kinkinesses",1,11,4,7,0
"stakhanovites",1,13,5,8,0
"halocaudal",0,10,5,5,0
"semibarbarian",1,13,6,7,0
"matrial",0,7,3,4,0
"u'fc'bxcxeqi",0,12,3,9,2
"nny'whoarwxmfjfef",0,17,3,14,1
"ramfeezletown",0,13,5,8,0
"pairlee",0,7,4,3,0
"hedlicyperesbly",0,15,4,11,0
"hgp",0,3,0,3,0
"seraphims",1,9,3,6,0
"nonchemically",0,13,4,9,0
"canler",0,6,2,4,0
"resample",1,8,3,5,0
"folksiest",1,9,3,6,0
"chalmoluon",0,10,4,6,0
"ganniellenial",0,13,6,7,0
"courtlier",1,9,4,5,0
"dismissal",1,9,3,6,0
"kulun",1,5,2,3,0
"veratrum",1,8,3,5,0
"teletraspedote",0,14,6,8,0
"reiter",1,6,3,3,0
"asterophone",0,11,5,6,0
"absvwksgfq",0,10,1,9,0
"pannidyis",0,9,3,6,0
"fectrin",0,7,2,5,0
"bascepseing",0,11,4,7,0
"neosho",1,6,3,3,0
"manism",0,6,2,4,0
"ramillie",1,8,4,4,0
"hempseeds",1,9,3,6,0
"caniser",0,7,3,4,0
"ulmina",0,6,3,3,0
"hemotic",0,7,3,4,0
"goss",1,4,1,3,0
"precreases",1,10,4,6,0
"cfe'ijdv",0,8,2,6,1
"conigdorargenicis",0,17,7,10,0
"anoil",1,5,3,2,0
"replicalnesses",0,14,5,9,0
"nonscaling",1,10,3,7,0
"mano",1,4,2,2,0
"porcup",0,6,2,4,0
"repheallart",0,11,4,7,0
"homogenite",0,10,5,5,0
"wot",0,3,1,2,0
"ostracism",1,9,3,6,0
"sphaeridium",1,11,5,6,0
"predeficient",1,12,5,7,0
"countercrowder",0,14,5,9,0
"cordetinestionathaenglishy",0,26,10,16,0
"chastisers",1,10,3,7,0
"esonse",0,6,3,3,0
"methodologists",1,14,5,9,0
"funchestaxomatondel",0,19,7,12,0
"idahoans",1,8,4,4,0
"erophillers",0,11,4,7,0
"cornix",1,6,2,4,0
"phalaprolity",0,12,4,8,0
"superhines",0,10,4,6,0
"fistulated",1,10,4,6,0
"sinehattiverrarpl",0,17,6,11,0
"metepa",1,6,3,3,0
"underthief",1,10,4,6,0
"wzhgxpxwazlochu",0,15,3,12,0
"guagmenting",0,11,4,7,0
"mul",0,3,1,2,0
"omnifical",0,9,4,5,0
"curmudgeonery",1,13,5,8,0
"sedimenta",0,9,4,5,0
"paraphimosis",1,12,5,7,0
"crudoon",0,7,3,4,0
"rhynchophoran",1,13,3,10,0
"autonomic",1,9,5,4,0
"chonones",0,8,3,5,0
"easters",1,7,3,4,0
"'ltjouw",0,7,2,5,1
"argutenberration",0,16,7,9,0
"maurally",0,8,3,5,0
"occipitofrontal",1,15,6,9,0
"omy",0,3,1,2,0
"brisgogherinano",0,15,6,9,0
"myrian",0,6,2,4,0
"palaeotropical",1,14,7,7,0
"supercaptiously",0,15,6,9,0
"skidpans",1,8,2,6,0
"berdicus",0,8,3,5,0
"neiygkytijwhxwlvodgrfsidth'tgp",0,30,5,25,1
"h'eaeeweepmwmqgc",0,16,6,10,1
"potence",1,7,3,4,0
"phoris",0,6,2,4,0
"ertyletuchteoloneg",0,18,7,11,0
"heredolues",1,10,5,5,0
"uukdvespori",0,11,5,6,0
"changefulnesses",1,15,5,10,0
"presupplementedly",0,17,5,12,0
"brakiest",1,8,3,5,0
"emulousness",1,11,5,6,0
"idae",0,4,3,1,0
"dissipatedness",1,14,5,9,0
"symbol",1,6,1,5,0
"faberga",1,7,3,4,0
"afkugqkplqhkjs'xa",0,17,3,14,1
"reith",1,5,2,3,0
"oho",1,3,2,1,0
"swadtealisalocaretic",0,20,9,11,0
"macroprisms",1,11,3,8,0
"chemosynthesis",1,14,4,10,0
"urochordate",1,11,5,6,0
"f'emkeqlnr",0,10,2,8,1
"prefraniallydes",0,15,5,10,0
"pseudoamatores",0,14,7,7,0
"caprucigs",0,9,3,6,0
"arooss",0,6,3,3,0
"dhives",0,6,2,4,0
"stingily",1,8,2,6,0
"marmiditivrophts",0,16,5,11,0
"maledertid",0,10,4,6,0
"ualortteyamontcong",0,18,7,11,0
"helicitic",1,9,4,5,0
"pearlside",0,9,4,5,0
"annihilobous",0,12,6,6,0
"papayotin",1,9,4,5,0
"rotinevetiesterierness",0,22,10,12,0
"oudidestivinemichydralizatcleccist",0,34,13,21,0
"antemingents",0,12,4,8,0
"unconsuteness",0,13,5,8,0
"hgalzlupzndvqjnycmllepkzvu",0,26,4,22,0
"ferrosilicons",1,13,5,8,0
"batteau",1,7,4,3,0
"parfocality",1,11,4,7,0
"improvement",1,11,4,7,0
"neuropoda",0,9,5,4,0
"babas",1,5,2,3,0
"artgum",1,6,2,4,0
"newcomer",1,8,3,5,0
"polyglottally",1,13,3,10,0
"testate",1,7,3,4,0
"aclgjlg'libeg'zsoxtk",0,20,4,16,2
"needles",1,7,3,4,0
"atoshr",0,6,2,4,0
"ophylaxes",0,9,3,6,0
"sactiouzialetagrapanda",0,22,11,11,0
"capmakers",1,9,3,6,0
"deathbed",1,8,3,5,0
"totz",1,4,1,3,0
"escudos",1,7,3,4,0
"anthropomatous",0,14,6,8,0
"cheshvan",1,8,2,6,0
"vixcufcxxx",0,10,2,8,0
"datographotottlee",0,17,7,10,0
"lexicologist",1,12,5,7,0
"paperiness",1,10,4,6,0
"iain",1,4,3,1,0
"ampyx",1,5,1,4,0
"rmxftqksvtd'rt",0,14,0,14,1
"enthusiasts",1,11,4,7,0
"darns",1,5,1,4,0
"racerunner",1,10,4,6,0
"quet",1,4,2,2,0
"chloramines",1,11,4,7,0
"subcarinated",1,12,5,7,0
"hounskull",1,9,3,6,0
"edmonda",1,7,3,4,0
"corbett",1,7,2,5,0
"udszm",0,5,1,4,0
"cumbeat",0,7,3,4,0
"andochomerinotor",0,16,7,9,0
"bacteriaceae",1,12,7,5,0
"muncies",0,7,3,4,0
"lachenalia",1,10,5,5,0
"gunports",1,8,2,6,0
"bearnaise",1,9,5,4,0
"gophan",0,6,2,4,0
"pgnkfwdakxaznopnty'",0,19,3,16,1
"citruthititis",0,13,5,8,0
"staphylosis",1,11,3,8,0
"okrasianism",0,11,5,6,0
"tarumari",1,8,4,4,0
"fertilia",0,8,4,4,0
"cordello",0,8,3,5,0
"icac",0,4,2,2,0
"poema",0,5,3,2,0
"sexferd",0,7,2,5,0
"silverwares",1,11,4,7,0
"jacque",1,6,3,3,0
"mormmman",0,8,2,6,0
"piassaba",1,8,4,4,0
"drinkables",1,10,3,7,0
"hootananny",1,10,4,6,0
"gabblement",1,10,3,7,0
"unsellable",1,10,4,6,0
"fensition",0,9,4,5,0
"eslyxsg'nt",0,10,1,9,1
"exed",1,4,2,2,0
"arowhertephe",0,12,5,7,0
"sidestreet",1,10,4,6,0
"hikers",1,6,2,4,0
"flat",1,4,1,3,0
"mimictimelides",0,14,6,8,0
"decantigationid",0,15,7,8,0
"logitopr",0,8,3,5,0
"polky",1,5,1,4,0
"superiors",1,9,4,5,0
"orlander",0,8,3,5,0
"doctrinarian",1,12,5,7,0
"conspissate",1,11,4,7,0
"lontar",1,6,2,4,0
"rhizodus",1,8,3,5,0
"phliolly",0,8,2,6,0
"superfish",0,9,3,6,0
"ynjcypmzipfegc",0,14,2,12,0
"undocumentedness",1,16,6,10,0
"glideness",1,9,3,6,0
"gobrancive",0,10,4,6,0
"evisite",1,7,4,3,0
"igusdmue'qhk'px",0,15,4,11,2
"astoide",0,7,4,3,0
"macroanalytical",1,15,6,9,0
"oversteadfasts",0,14,5,9,0
"spd",1,3,0,3,0
"gulfport",1,8,2,6,0
"emarginally",0,11,4,7,0
