word,present,len,vowels,consonants,nonletters,vtc
prone,1,5,2,3,0,0.666666666666667
avematussonguarappin,0,20,9,11,0,0.818181818181818
signories,1,9,4,5,0,0.8
mpffpknrop,0,10,1,9,0,0.111111111111111
gangst,0,6,1,5,0,0.2
lienise,0,7,4,3,0,1.33333333333333
hru'ukgamabxzhekekkrx,0,21,6,15,1,0.4
guaiacum,1,8,5,3,0,1.66666666666667
ln'zmwjhq,0,9,0,9,1,0
icins,0,5,2,3,0,0.666666666666667
preexplode,1,10,4,6,0,0.666666666666667
parvely,0,7,2,5,0,0.4
nonliterate,1,11,5,6,0,0.833333333333333
taklamatic,0,10,4,6,0,0.666666666666667
overmuries,0,10,5,5,0,1
iulus,1,5,3,2,0,1.5
christener,1,10,3,7,0,0.428571428571429
vasotocin,1,9,4,5,0,0.8
difica,0,6,3,3,0,1
teriann,1,7,3,4,0,0.75
frankston,1,9,2,7,0,0.285714285714286
skwbksu,0,7,1,6,0,0.166666666666667
phalanstery,1,11,3,8,0,0.375
pelara,0,6,3,3,0,1
germaterin,0,10,4,6,0,0.666666666666667
bullwinkle,1,10,3,7,0,0.428571428571429
electricharriagend,0,18,7,11,0,0.636363636363636
exin,0,4,2,2,0,1
nondramatically,1,15,5,10,0,0.5
akhes,0,5,2,3,0,0.666666666666667
humohagyra,0,10,4,6,0,0.666666666666667
marsorbel,0,9,3,6,0,0.5
unemulous,1,9,5,4,0,1.25
tacky,1,5,1,4,0,0.25
overcroppings,0,13,4,9,0,0.444444444444444
fibrillan,0,9,3,6,0,0.5
noddingly,1,9,2,7,0,0.285714285714286
titivation,1,10,5,5,0,1
brapodyian,0,10,4,6,0,0.666666666666667
texturally,1,10,3,7,0,0.428571428571429
antonet,1,7,3,4,0,0.75
tabbi,1,5,2,3,0,0.666666666666667
aphkfpkidxkqdq,0,14,2,12,0,0.166666666666667
sensitor,0,8,3,5,0,0.6
moyockels,0,9,3,6,0,0.5
siphonophora,1,12,5,7,0,0.714285714285714
achnist,0,7,2,5,0,0.4
leederte,0,8,4,4,0,1
selmer,1,6,2,4,0,0.5
amphipneusta,1,12,5,7,0,0.714285714285714
hereld,1,6,2,4,0,0.5
pornographomania,1,16,7,9,0,0.777777777777778
swineherdship,1,13,4,9,0,0.444444444444444
fenvand,0,7,2,5,0,0.4
karenina,1,8,4,4,0,1
subcates,0,8,3,5,0,0.6
glegly,1,6,1,5,0,0.2
broautodouging,0,14,7,7,0,1
handlock,1,8,2,6,0,0.333333333333333
elver,1,5,2,3,0,0.666666666666667
moistencer,0,10,4,6,0,0.666666666666667
slowhead,0,8,3,5,0,0.6
conious,0,7,4,3,0,1.33333333333333
linable,1,7,3,4,0,0.75
doup,1,4,2,2,0,1
llyr,1,4,0,4,0,0
heliosphered,0,12,5,7,0,0.714285714285714
tekla,1,5,2,3,0,0.666666666666667
noncallable,1,11,4,7,0,0.571428571428571
feminimistrining,0,16,6,10,0,0.6
chirota,0,7,3,4,0,0.75
catiline,1,8,4,4,0,1
piercers,1,8,3,5,0,0.6
bcachi,0,6,2,4,0,0.5
kwormeriskful,0,13,4,9,0,0.444444444444444
